date,time,query,response
2022-04-15,23:31:15,entered,entered
2022-04-15,23:35:29,entered,entered
2022-04-16,11:06:15,entered,entered
2022-04-16,11:07:11,hello,Hello
2022-04-16,11:07:43,current time?,Current Time: 11: 07
2022-04-16,11:09:14,hello,Welcome sir
2022-04-16,11:15:24,entered,entered
2022-04-16,11:15:30,hello,Hi there
2022-04-16,11:15:45,what is yesterday's date?,"Yesterday's Date: Friday, 2022-04-15 11:15:45.774739"
2022-04-16,11:26:38,entered,entered
2022-04-16,11:26:42,hello,Hey
2022-04-16,11:29:08,entered,entered
2022-04-16,11:29:51,hello,Hello sir
2022-04-16,11:36:27,entered,entered
2022-04-16,11:36:34,hello,Hello sir
2022-04-16,11:37:03,detect object,person
2022-04-16,11:37:26,what is weather in pune,Temperature: 308.18 Pressure: 1008 Humidity: 13 Description: clear sky
2022-04-16,13:26:34,entered,entered
2022-04-16,13:29:23,entered,entered
2022-04-16,13:29:29,hello,Hey! How are you?
2022-04-16,13:31:15,entered,entered
2022-04-16,13:32:05,entered,entered
2022-04-16,13:33:27,entered,entered
2022-04-16,13:37:11,entered,entered
2022-04-16,13:37:18,hello,Hey! How are you doing?
2022-04-16,13:37:39,read it for me,Text: None
2022-04-17,18:47:03,entered,entered
2022-04-17,18:47:45,entered,entered
2022-04-17,18:47:51,entered,entered
2022-04-17,18:48:08,entered,entered
2022-04-17,18:48:27,entered,entered
2022-04-17,18:49:11,entered,entered
2022-04-17,18:51:06,entered,entered
2022-04-17,18:52:23,entered,entered
2022-04-17,18:53:26,entered,entered
2022-04-17,18:55:30,entered,entered
2022-04-17,18:59:19,entered,entered
2022-04-17,18:59:30,hello,"Hi there, how can I help"
2022-04-17,18:59:53,what's the,"Sorry, I didn't get that. Can you please rephrase it?"
2022-04-17,19:00:12,what's the current time,Current Time: 19: 00
2022-04-17,19:00:28,what ipl matches today,"Searching for today, Check Your Browser"
2022-04-17,19:00:46,hello,Welcome sir
2022-04-17,19:00:56,thank you for you are free,I am your personal assistant.
2022-04-17,19:01:10, ,"Sorry, I didn't get that. Can you please rephrase it?"
2022-04-17,19:01:18,bye,See you later!
2022-05-04,22:51:51,entered,entered
2022-05-04,22:52:18,hello,Hey! How are you?
2022-05-04,22:52:39, ,"Sorry, I didn't get that. Can you please rephrase it?"
2022-05-04,22:52:49,no,What else sir ?
2022-05-04,22:53:17, ,"Sorry, I didn't get that. Can you please rephrase it?"
2022-05-04,22:53:29,ok thanks,Anything else sir ?
2022-05-04,22:54:00,what is in front of,person
